Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-3,9892693166621E-05;25067,248046875;9,986328125;
2;-0,990000009536743;-3,81969948648475E-05;25918,26953125;20,0556640625;
3;-0,980000019073486;-3,71100468328223E-05;26407,943359375;30,125;
4;-0,970000028610229;-3,62255195796024E-05;26776,705078125;40,1923828125;
5;-0,959999978542328;-3,53797913703602E-05;27134,1328125;50,2626953125;
6;-0,949999988079071;-3,47114691976458E-05;27368,474609375;60,3310546875;
7;-0,939999997615814;-3,40842816513032E-05;27578,6953125;70,400390625;
8;-0,930000007152557;-3,34248070430476E-05;27823,646484375;80,4697265625;
9;-0,920000016689301;-3,27668967656791E-05;28077,1171875;90,541015625;
10;-0,910000026226044;-3,21528677886818E-05;28302,296875;100,6103515625;
11;-0,899999976158142;-3,15528122882824E-05;28523,60546875;110,681640625;
12;-0,889999985694885;-3,09429633489344E-05;28762,59765625;120,7509765625;
13;-0,879999995231628;-3,03753458865685E-05;28970,86328125;130,8193359375;
14;-0,870000004768372;-2,98489176202565E-05;29146,78515625;140,888671875;
15;-0,860000014305115;-2,92691784125054E-05;29382,4453125;150,958984375;
16;-0,850000023841858;-2,87331622530473E-05;29582,54296875;161,02734375;
17;-0,839999973773956;-2,81972661468899E-05;29790,12109375;171,09765625;
18;-0,829999983310699;-2,76737955573481E-05;29992,271484375;181,16796875;
19;-0,819999992847443;-2,71395256277174E-05;30214,234375;191,2373046875;
20;-0,810000002384186;-2,66414426732808E-05;30403,759765625;201,3056640625;
21;-0,800000011920929;-2,61068526015151E-05;30643,296875;211,3740234375;
22;-0,790000021457672;-2,56099683610955E-05;30847,36328125;221,443359375;
23;-0,779999971389771;-2,51332603511401E-05;31034,572265625;231,51171875;
24;-0,769999980926514;-2,46503932430642E-05;31236,82421875;241,58203125;
25;-0,759999990463257;-2,41458583332133E-05;31475,376953125;251,650390625;
26;-0,75;-2,36557425523642E-05;31704,775390625;261,720703125;
27;-0,740000009536743;-2,31594385695644E-05;31952,416015625;271,7890625;
28;-0,730000019073486;-2,26528845814755E-05;32225,4765625;281,8583984375;
29;-0,720000028610229;-2,21911013795761E-05;32445,439453125;291,927734375;
30;-0,709999978542328;-2,17341621464584E-05;32667,46484375;301,9951171875;
31;-0,699999988079071;-2,12890663533472E-05;32880,7265625;312,0634765625;
32;-0,689999997615814;-2,0864759790129E-05;33070,11328125;322,1337890625;
33;-0,680000007152557;-2,04413681785809E-05;33265,875;332,2021484375;
34;-0,670000016689301;-2,00144422706217E-05;33475,828125;342,271484375;
35;-0,660000026226044;-1,9616614736151E-05;33644,94921875;352,341796875;
36;-0,649999976158142;-1,92128336493624E-05;33831,55078125;362,4091796875;
37;-0,639999985694885;-1,88165122381179E-05;34012,6796875;372,478515625;
38;-0,629999995231628;-1,84404289029771E-05;34164,0625;382,5478515625;
39;-0,620000004768372;-1,80716397153446E-05;34307,8984375;392,6171875;
40;-0,610000014305115;-1,77053934748983E-05;34452,78125;402,6884765625;
41;-0,600000023841858;-1,73412554431707E-05;34599,57421875;412,755859375;
42;-0,589999973773956;-1,69926061062142E-05;34720,98046875;422,8271484375;
43;-0,579999983310699;-1,66193312907126E-05;34899,1171875;432,89453125;
44;-0,569999992847443;-1,62626456585713E-05;35049,6484375;442,9658203125;
45;-0,560000002384186;-1,59153732965933E-05;35186,10546875;453,0341796875;
46;-0,550000011920929;-1,55731777340407E-05;35317,1328125;463,1025390625;
47;-0,540000021457672;-1,52439070006949E-05;35423,9921875;473,171875;
48;-0,529999971389771;-1,49069664985291E-05;35553,84375;483,2412109375;
49;-0,519999980926514;-1,45718140629469E-05;35685,328125;493,3095703125;
50;-0,509999990463257;-1,42425215017283E-05;35808,265625;503,37890625;
51;-0,5;-1,39142348416499E-05;35934,421875;513,44921875;
52;-0,490000009536743;-1,35961408886942E-05;36039,640625;523,51953125;
