Item;Smu1_V;Smu1_I
189;0,879999995;5,28346E-06
190;0,889999986;5,52169E-06
191;0,899999976;5,70173E-06
192;0,910000026;5,87533E-06
193;0,920000017;6,03607E-06
194;0,930000007;6,17752E-06
195;0,939999998;6,33053E-06
196;0,949999988;6,51609E-06
197;0,959999979;6,74746E-06
198;0,970000029;7,00228E-06
199;0,980000019;7,29819E-06
200;0,99000001;7,69072E-06
201;1;8,1523E-06
202;1;1,62595E-05
203;0,99000001;1,07851E-05
204;0,980000019;7,41951E-06
205;0,970000029;6,20996E-06
206;0,959999979;5,30273E-06
207;0,949999988;4,60617E-06
208;0,939999998;4,04863E-06
209;0,930000007;3,58473E-06
210;0,920000017;3,18865E-06
211;0,910000026;2,873E-06
212;0,899999976;2,59443E-06
213;0,889999986;2,34555E-06
214;0,879999995;2,11811E-06
215;0,870000005;1,9203E-06
216;0,860000014;1,7125E-06
217;0,850000024;1,52053E-06
218;0,839999974;1,33713E-06
219;0,829999983;1,17337E-06
220;0,819999993;1,0322E-06
221;0,810000002;1,24245E-06
222;0,800000012;1,02184E-06
223;0,790000021;1,01775E-06
224;0,779999971;8,53172E-07
225;0,769999981;7,42133E-07
226;0,75999999;6,56369E-07
227;0,75;6,01307E-07
228;0,74000001;5,69201E-07
229;0,730000019;5,60987E-07
230;0,720000029;5,84669E-07
231;0,709999979;6,23647E-07
232;0,699999988;6,54154E-07
233;0,689999998;6,76643E-07
234;0,680000007;6,83795E-07
235;0,670000017;6,91548E-07
236;0,660000026;6,90478E-07
237;0,649999976;6,91504E-07
238;0,639999986;6,87296E-07
239;0,629999995;6,83268E-07
240;0,620000005;6,76971E-07
241;0,610000014;6,68126E-07
242;0,600000024;6,67697E-07
243;0,589999974;6,57842E-07
244;0,579999983;6,47063E-07
245;0,569999993;6,35946E-07
246;0,560000002;6,22007E-07
247;0,550000012;6,22314E-07
248;0,540000021;6,09496E-07
249;0,529999971;5,9952E-07
250;0,519999981;5,81705E-07
251;0,50999999;5,66749E-07
252;0,5;5,54036E-07
253;0,49000001;5,41142E-07
