item	Smu1_V(1)(1)	Smu1_I(1)(1)
188	0,870000005	6,18428E-06
189	0,879999995	6,43321E-06
190	0,889999986	6,70641E-06
191	0,899999976	7,0236E-06
192	0,910000026	7,37105E-06
193	0,920000017	7,762E-06
194	0,930000007	8,15961E-06
195	0,939999998	8,55303E-06
196	0,949999988	8,91736E-06
197	0,959999979	9,25678E-06
198	0,970000029	9,56393E-06
199	0,980000019	9,84293E-06
200	0,99000001	1,01151E-05
201	1	9,45171E-06
202	1	1,76554E-05
203	0,99000001	1,30725E-05
204	0,980000019	1,06465E-05
205	0,970000029	8,43714E-06
206	0,959999979	7,32681E-06
207	0,949999988	6,4504E-06
208	0,939999998	5,72731E-06
209	0,930000007	5,11153E-06
210	0,920000017	4,57857E-06
211	0,910000026	4,1167E-06
212	0,899999976	3,70206E-06
213	0,889999986	3,33754E-06
214	0,879999995	3,0182E-06
215	0,870000005	2,72233E-06
216	0,860000014	2,46201E-06
217	0,850000024	2,22438E-06
218	0,839999974	2,0112E-06
219	0,829999983	1,81761E-06
220	0,819999993	1,63901E-06
221	0,810000002	1,47694E-06
222	0,800000012	1,32387E-06
223	0,790000021	1,18012E-06
224	0,779999971	1,03965E-06
225	0,769999981	1,28706E-06
226	0,75999999	1,07051E-06
227	0,75	1,21543E-06
228	0,74000001	1,08373E-06
229	0,730000019	1,00865E-06
230	0,720000029	1,04649E-06
231	0,709999979	9,64993E-07
232	0,699999988	9,13786E-07
233	0,689999998	8,79031E-07
234	0,680000007	8,47004E-07
235	0,670000017	8,22424E-07
236	0,660000026	7,9671E-07
237	0,649999976	7,72825E-07
238	0,639999986	7,52702E-07
239	0,629999995	7,29094E-07
240	0,620000005	7,10056E-07
241	0,610000014	6,93315E-07
242	0,600000024	6,75331E-07
243	0,589999974	6,59033E-07
244	0,579999983	6,44888E-07
245	0,569999993	6,29445E-07
246	0,560000002	6,14354E-07
247	0,550000012	6,01768E-07
248	0,540000021	5,85083E-07
249	0,529999971	5,71033E-07
250	0,519999981	5,53316E-07
251	0,50999999	5,36864E-07
252	0,5	5,20435E-07
253	0,49000001	4,9883E-07
254	0,479999989	4,78905E-07
255	0,469999999	4,54014E-07
256	0,460000008	4,28814E-07
257	0,449999988	4,00848E-07
258	0,439999998	3,70358E-07
259	0,430000007	3,3864E-07
260	0,419999987	3,02753E-07
261	0,409999996	2,72903E-07
262	0,400000006	2,28768E-07
263	0,389999986	1,90389E-07
264	0,379999995	1,56515E-07
265	0,370000005	1,19977E-07
266	0,360000014	8,3309E-08
267	0,349999994	5,56137E-08
268	0,340000004	2,82809E-08
269	0,330000013	4,65855E-09
270	0,319999993	-8,6401E-09
271	0,310000002	-1,99875E-08
272	0,300000012	-3,05312E-08
273	0,289999992	-3,7629E-08
274	0,280000001	-4,22131E-08
275	0,270000011	-4,50473E-08
276	0,25999999	-4,61232E-08
277	0,25	-4,80316E-08
278	0,239999995	-4,89193E-08
279	0,230000004	-5,14082E-08
280	0,219999999	-5,01777E-08
281	0,209999993	-5,21513E-08
282	0,200000003	-5,2191E-08
283	0,189999998	-5,46156E-08
284	0,180000007	-5,61432E-08
285	0,170000002	-5,86997E-08
286	0,159999996	-5,85702E-08
287	0,150000006	-6,23775E-08
288	0,140000001	-6,4956E-08
289	0,129999995	-6,80611E-08
290	0,119999997	-7,24376E-08
291	0,109999999	-7,70754E-08
292	0,100000001	-8,00752E-08
293	0,090000004	-8,37112E-08
294	0,079999998	-9,0449E-08
295	0,07	-9,82003E-08
296	0,059999999	-1,0365E-07
297	0,050000001	-1,12495E-07
298	0,039999999	-1,22338E-07
299	0,029999999	-1,32997E-07
300	0,02	-1,45713E-07
301	0,01	-1,60741E-07
302	0	-1,76468E-07
303	-0,01	-1,94712E-07
304	-0,02	-2,16163E-07
305	-0,029999999	-2,40799E-07
306	-0,039999999	-2,68524E-07
307	-0,050000001	-2,99978E-07
308	-0,059999999	-3,356E-07
309	-0,07	-3,72764E-07
310	-0,079999998	-4,16781E-07
311	-0,090000004	-4,66459E-07
312	-0,100000001	-5,20605E-07
313	-0,109999999	-5,79602E-07
314	-0,119999997	-6,44033E-07
315	-0,129999995	-7,16328E-07
316	-0,140000001	-7,92953E-07
317	-0,150000006	-8,75486E-07
318	-0,159999996	-9,65401E-07
319	-0,170000002	-1,0473E-06
320	-0,180000007	-1,14825E-06
321	-0,189999998	-1,2546E-06
322	-0,200000003	-1,36616E-06
323	-0,209999993	-1,48156E-06
324	-0,219999999	-1,60264E-06
325	-0,230000004	-1,72921E-06
326	-0,239999995	-1,85958E-06
327	-0,25	-1,99438E-06
328	-0,25999999	-2,1376E-06
329	-0,270000011	-2,28193E-06
330	-0,280000001	-2,43341E-06
